Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,27.0,27.139999,26.360001,26.389999,23.926165,116700
2017-08-01,26.540001,26.75,26.33,26.65,24.16189,106600
2017-08-02,26.68,26.82,25.809998999999998,26.67,24.180023000000002,173800
2017-08-03,26.83,27.84,26.42,27.74,25.150123999999998,225000
2017-08-04,27.52,28.02,27.469998999999998,27.879998999999998,25.277054,209300
2017-08-07,28.030001000000002,28.32,27.74,28.280001000000002,25.639709,192200
2017-08-08,28.4,28.43,28.120001000000002,28.280001000000002,25.639709,94100
2017-08-09,28.15,28.4,27.360001,27.76,25.168259,59000
2017-08-10,27.809998999999998,27.809998999999998,25.969998999999998,27.01,24.488281,91600
2017-08-11,26.870001000000002,28.379998999999998,26.200001,28.139999,25.512779000000002,211400
2017-08-14,28.74,30.219998999999998,28.74,30.02,27.217258,638400
2017-08-15,30.139999,30.35,28.950001,29.65,26.881802,361900
2017-08-16,29.73,30.040001,29.440001000000002,29.860001,27.072196999999996,95200
2017-08-17,29.799999,30.549999,29.49,30.5,27.652445,224600
2017-08-18,30.5,31.110001,30.35,31.110001,28.205496000000004,145800
2017-08-21,30.959999,31.530001000000002,30.709999,31.469998999999998,28.531883,296700
2017-08-22,31.34,31.42,30.4,30.860001,27.978835999999998,353200
2017-08-23,30.92,30.940001000000002,29.42,29.889999,27.099396000000002,403000
2017-08-24,30.07,30.07,29.299999,29.719998999999998,26.945266999999998,172400
2017-08-25,29.540001,29.98,29.5,29.5,26.745805999999998,214200
2017-08-28,29.91,31.709999,29.91,31.1,28.196426000000002,354900
2017-08-29,31.040001,31.4,30.379998999999998,30.68,27.815640999999996,177800
2017-08-30,30.700001,31.35,30.700001,31.139999,28.232692999999998,344700
2017-08-31,31.440001000000002,31.440001000000002,29.9,29.950001,27.153795000000002,360300
2017-09-01,30.34,31.16,30.34,30.469998999999998,27.625246,140500
2017-09-05,30.85,31.73,30.6,31.66,28.704144,282900
2017-09-06,31.67,31.83,30.73,31.299999,28.377754,212200
2017-09-07,31.469998999999998,31.639999,30.85,31.27,28.350557000000002,222800
2017-09-08,30.860001,30.9,30.059998999999998,30.459999,27.616179,231800
2017-09-11,31.07,31.889999,31.030001000000002,31.68,28.722278999999997,323600
2017-09-12,32.0,32.119999,31.360001,31.690001000000002,28.731344,409400
2017-09-13,31.709999,32.049999,30.559998999999998,30.879998999999998,27.996965000000003,382800
2017-09-14,30.93,31.32,30.02,30.540001,27.688710999999998,137400
2017-09-15,30.6,30.98,30.299999,30.93,28.042301000000002,218100
2017-09-18,30.5,30.84,30.25,30.73,27.860971000000003,210700
2017-09-19,30.860001,30.860001,30.48,30.68,27.815640999999996,131400
2017-09-20,30.68,30.860001,30.5,30.6,27.743109000000004,100100
2017-09-21,30.719998999999998,30.719998999999998,30.059998999999998,30.35,27.516448999999998,126500
2017-09-22,30.34,30.719998999999998,30.299999,30.559998999999998,27.706841999999998,234700
2017-09-25,30.5,30.879998999999998,29.6,30.040001,27.235391999999997,108400
2017-09-26,30.01,30.6,29.73,30.23,27.407653999999997,125200
2017-09-27,30.209999,30.65,29.799999,30.200001,27.380453000000003,159800
2017-09-28,30.25,30.65,30.190001000000002,30.52,27.670578000000003,122500
2017-09-29,30.530001000000002,31.08,30.18,30.84,27.960703000000002,311900
2017-10-02,30.799999,31.1,30.139999,30.43,27.58898,122600
2017-10-03,30.43,31.09,30.110001,30.85,27.969769,166900
2017-10-04,30.92,31.41,30.809998999999998,31.4,28.468418,132100
2017-10-05,31.450001,31.780001000000002,31.440001000000002,31.700001,28.740409999999997,187200
2017-10-06,31.52,32.080002,31.200001,31.83,28.858272999999997,153000
2017-10-09,31.77,31.799999,30.870001000000002,31.389999,28.459352000000003,133900
2017-10-10,31.309998999999998,31.709999,31.09,31.43,28.495619,179500
2017-10-11,31.59,31.66,31.02,31.08,28.178295000000002,198100
2017-10-12,31.17,31.68,30.969998999999998,31.360001,28.432156,111200
2017-10-13,31.639999,31.93,31.370001000000002,31.450001,28.513752,171000
2017-10-16,31.35,31.870001000000002,31.209999,31.35,28.423085999999998,144000
2017-10-17,31.219998999999998,31.76,31.049999,31.450001,28.513752,171100
2017-10-18,31.65,32.150002,31.4,31.690001000000002,28.731344,164900
2017-10-19,31.540001,32.57,31.41,32.139998999999996,29.139329999999998,287300
2017-10-20,32.169998,32.740002000000004,31.209999,31.700001,28.740409999999997,214900
2017-10-23,31.950001,33.799999,31.860001,33.799999,30.644346000000002,311700
2017-10-24,33.630001,33.860001000000004,33.0,33.529999,30.399555,119900
2017-10-25,33.529999,34.009997999999996,33.310001,33.509997999999996,30.381421999999997,154600
2017-10-26,33.66,33.98,33.43,33.560001,30.426758000000003,241300
2017-10-27,33.830002,33.830002,32.34,33.189999,30.091301,137900
2017-10-30,33.200001,33.240002000000004,32.060001,32.57,29.529184000000004,102300
2017-10-31,32.939999,32.939999,31.809998999999998,32.610001000000004,29.565451,217900
2017-11-01,32.959998999999996,33.93,32.959998999999996,33.77,30.617148999999998,343500
2017-11-02,34.0,34.200001,33.830002,34.110001000000004,30.925407,410600
2017-11-03,34.200001,34.200001,33.09,33.5,30.372358000000002,664100
2017-11-06,33.27,33.740002000000004,32.93,33.040001000000004,29.955305,160900
2017-11-07,33.200001,33.290001000000004,32.459998999999996,32.650002,29.601716999999997,174600
2017-11-08,32.5,34.16,32.5,34.16,30.970737,198800
2017-11-09,33.84,33.939999,33.049999,33.25,30.145697,150100
2017-11-10,33.189999,33.700001,32.799999,33.040001000000004,29.955305,94600
2017-11-13,33.040001000000004,33.599998,31.18,32.560001,29.520121000000003,151800
2017-11-14,32.630001,32.630001,30.629998999999998,30.860001,27.978835999999998,268400
2017-11-15,30.870001000000002,32.91,30.76,32.349998,29.329722999999998,333500
2017-11-16,32.389998999999996,33.599998,32.200001,33.389998999999996,30.272627000000004,231600
2017-11-17,33.389998999999996,33.869999,33.130001,33.810001,30.653415999999996,201200
2017-11-20,33.740002000000004,34.849998,33.41,34.130001,30.943539,210200
